127.0.0.1 - - [27/May/2020:16:01:40 +0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [27/May/2020:16:01:55 +0700] "GET /WebNgheNhac/home.htm HTTP/1.1" 200 3942
0:0:0:0:0:0:0:1 - - [27/May/2020:16:01:55 +0700] "GET /WebNgheNhac/public/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2020:16:01:55 +0700] "GET /WebNgheNhac/public/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2020:16:01:56 +0700] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [27/May/2020:16:02:14 +0700] "GET /WebNgheNhac/account.htm?m=login HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [27/May/2020:16:02:14 +0700] "GET /WebNgheNhac/public/css/account.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2020:16:02:16 +0700] "POST /WebNgheNhac/login.htm HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2020:16:02:17 +0700] "GET /WebNgheNhac/home.htm HTTP/1.1" 200 7985
0:0:0:0:0:0:0:1 - - [27/May/2020:16:02:17 +0700] "GET /WebNgheNhac/public/img/play.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2020:16:03:26 +0700] "GET /WebNgheNhac/public/css/bootstrap.css.map HTTP/1.1" 200 504418
0:0:0:0:0:0:0:1 - - [27/May/2020:16:03:54 +0700] "GET /WebNgheNhac/home.htm HTTP/1.1" 200 7985
0:0:0:0:0:0:0:1 - - [27/May/2020:16:03:54 +0700] "GET /WebNgheNhac/public/css/bootstrap.css.map HTTP/1.1" 200 504418
0:0:0:0:0:0:0:1 - - [27/May/2020:16:04:25 +0700] "GET /WebNgheNhac/public/css/main.css HTTP/1.1" 200 6696
0:0:0:0:0:0:0:1 - - [27/May/2020:16:04:26 +0700] "GET /WebNgheNhac/public/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2020:16:04:29 +0700] "GET /WebNgheNhac/home.htm HTTP/1.1" 200 7985
0:0:0:0:0:0:0:1 - - [27/May/2020:16:04:29 +0700] "GET /WebNgheNhac/public/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2020:16:05:46 +0700] "GET /WebNgheNhac/home.htm HTTP/1.1" 200 7985
0:0:0:0:0:0:0:1 - - [27/May/2020:16:05:46 +0700] "GET /WebNgheNhac/public/css/main.css HTTP/1.1" 200 6600
0:0:0:0:0:0:0:1 - - [27/May/2020:16:06:11 +0700] "GET /WebNgheNhac/home.htm HTTP/1.1" 200 8007
0:0:0:0:0:0:0:1 - - [27/May/2020:16:06:11 +0700] "GET /WebNgheNhac/public/css/main.css HTTP/1.1" 304 -
